time,populationID,neuronID,valueType,value
0.01,999,0,3,0.63452
0.01,94291922547248,0,3,0
0.01,94291922550896,0,3,0
0.02,999,0,3,0.730826
0.02,94291922547248,0,3,0
0.02,94291922550896,0,3,0
0.03,999,0,3,0.764011
0.03,94291922547248,0,3,0
0.03,94291922550896,0,3,0
0.04,999,0,3,0.730826
0.04,94291922547248,0,3,0
0.04,94291922550896,0,3,0
0.05,999,0,3,0.65
0.05,94291922547248,0,3,0
0.05,94291922550896,0,3,0
0.06,999,0,3,0.554491
0.06,94291922547248,0,3,0
0.06,94291922550896,0,3,0
0.07,999,0,3,0.478694
0.07,94291922547248,0,3,0
0.07,94291922550896,0,3,0
0.08,999,0,3,0.445509
0.08,94291922547248,0,3,0
0.08,94291922550896,0,3,0
0.09,999,0,3,0.458185
0.09,94291922547248,0,3,0
0.09,94291922550896,0,3,0
0.1,999,0,3,0.5
0.1,94291922547248,0,3,0
0.1,94291922550896,0,3,0
0.11,999,0,3,0.541815
0.11,94291922547248,0,3,0
0.11,94291922550896,0,3,0
0.12,999,0,3,0.554491
0.12,94291922547248,0,3,0
0.12,94291922550896,0,3,0
0.13,999,0,3,0.521306
0.13,94291922547248,0,3,0
0.13,94291922550896,0,3,0
0.14,999,0,3,0.445509
0.14,94291922547248,0,3,0
0.14,94291922550896,0,3,0
0.15,999,0,3,0.35
0.15,94291922547248,0,3,0
0.15,94291922550896,0,3,0
0.16,999,0,3,0.269174
0.16,94291922547248,0,3,0
0.16,94291922550896,0,3,0
0.17,999,0,3,0.235989
0.17,94291922547248,0,3,0
0.17,94291922550896,0,3,0
0.18,999,0,3,0.269174
0.18,94291922547248,0,3,0
0.18,94291922550896,0,3,0
0.19,999,0,3,0.36548
0.19,94291922547248,0,3,0
0.19,94291922550896,0,3,0.00796
0.2,999,0,3,0.5
0.2,94291922547248,0,3,0.000796
0.2,94291922550896,0,3,0.0181601
0.21,999,0,3,0.63452
0.21,94291922547248,0,3,0.00181601
0.21,94291922550896,0,3,0.0348614
0.22,999,0,3,0.730826
0.22,94291922547248,0,3,0.00348613
0.22,94291922550896,0,3,0.0616885
0.23,999,0,3,0.764011
0.23,94291922547248,0,3,0.00616877
0.23,94291922550896,0,3,0.101275
0.24,999,0,3,0.730826
0.24,94291922547248,0,3,0.0101271
0.24,94291922550896,0,3,0.147045
0.25,999,0,3,0.65
0.25,94291922547248,0,3,0.0147034
0.25,94291922550896,0,3,0.204718
0.26,999,0,3,0.554491
0.26,94291922547248,0,3,0.020469
0.26,94291922550896,0,3,0.26865
0.27,999,0,3,0.478694
0.27,94291922547248,0,3,0.0268585
0.27,94291922550896,0,3,0.332582
0.28,999,0,3,0.445509
0.28,94291922547248,0,3,0.0332459
0.28,94291922550896,0,3,0.390255
0.29,999,0,3,0.458185
0.29,94291922547248,0,3,0.0390057
0.29,94291922550896,0,3,0.436025
0.3,999,0,3,0.5
0.3,94291922547248,0,3,0.0435749
0.3,94291922550896,0,3,0.473371
0.31,999,0,3,0.541815
0.31,94291922547248,0,3,0.0473018
0.31,94291922550896,0,3,0.485737
0.32,999,0,3,0.554491
0.32,94291922547248,0,3,0.0485356
0.32,94291922550896,0,3,0.482113
0.33,999,0,3,0.521306
0.33,94291922547248,0,3,0.0481739
0.33,94291922550896,0,3,0.462852
0.34,999,0,3,0.445509
0.34,94291922547248,0,3,0.0462522
0.34,94291922550896,0,3,0.429841
0.35,999,0,3,0.35
0.35,94291922547248,0,3,0.0429577
0.35,94291922550896,0,3,0.394272
0.36,999,0,3,0.269174
0.36,94291922547248,0,3,0.0394067
0.36,94291922550896,0,3,0.354684
0.37,999,0,3,0.235989
0.37,94291922547248,0,3,0.0354535
0.37,94291922550896,0,3,0.320213
0.38,999,0,3,0.269174
0.38,94291922547248,0,3,0.0320103
0.38,94291922550896,0,3,0.299492
0.39,999,0,3,0.36548
0.39,94291922547248,0,3,0.0299402
0.39,94291922550896,0,3,0.299809
0.4,999,0,3,0.5
0.4,94291922547248,0,3,0.029972
0.4,94291922550896,0,3,0.308233
0.41,999,0,3,0.63452
0.41,94291922547248,0,3,0.0308136
0.41,94291922550896,0,3,0.33684
0.42,999,0,3,0.730826
0.42,94291922547248,0,3,0.0336712
0.42,94291922550896,0,3,0.377569
0.43,999,0,3,0.764011
0.43,94291922547248,0,3,0.037739
0.43,94291922550896,0,3,0.421175
0.44,999,0,3,0.730826
0.44,94291922547248,0,3,0.0420926
0.44,94291922550896,0,3,0.458129
0.45,999,0,3,0.65
0.45,94291922547248,0,3,0.0457809
0.45,94291922550896,0,3,0.489755
0.46,999,0,3,0.554491
0.46,94291922547248,0,3,0.0489364
0.46,94291922550896,0,3,0.512958
0.47,999,0,3,0.478694
0.47,94291922547248,0,3,0.0512508
0.47,94291922550896,0,3,0.520524
0.48,999,0,3,0.445509
0.48,94291922547248,0,3,0.0520055
0.48,94291922550896,0,3,0.509014
0.49,999,0,3,0.458185
0.49,94291922547248,0,3,0.0508575
0.49,94291922550896,0,3,0.489754
0.5,999,0,3,0.5
0.5,94291922547248,0,3,0.0489363
0.5,94291922550896,0,3,0.464629
0.51,999,0,3,0.541815
0.51,94291922547248,0,3,0.0464295
0.51,94291922550896,0,3,0.425898
0.52,999,0,3,0.554491
0.52,94291922547248,0,3,0.0425641
0.52,94291922550896,0,3,0.390254
0.53,999,0,3,0.521306
0.53,94291922547248,0,3,0.0390056
0.53,94291922550896,0,3,0.361185
0.54,999,0,3,0.445509
0.54,94291922547248,0,3,0.0361028
0.54,94291922550896,0,3,0.328637
0.55,999,0,3,0.35
0.55,94291922547248,0,3,0.0328518
0.55,94291922550896,0,3,0.305995
0.56,999,0,3,0.269174
0.56,94291922547248,0,3,0.0305899
0.56,94291922550896,0,3,0.293235
0.57,999,0,3,0.235989
0.57,94291922547248,0,3,0.0293151
0.57,94291922550896,0,3,0.289368
0.58,999,0,3,0.269174
0.58,94291922547248,0,3,0.0289287
0.58,94291922550896,0,3,0.29477
0.59,999,0,3,0.36548
0.59,94291922547248,0,3,0.0294685
0.59,94291922550896,0,3,0.308914
0.6,999,0,3,0.5
0.6,94291922547248,0,3,0.0308816
0.6,94291922550896,0,3,0.322454
0.61,999,0,3,0.63452
0.61,94291922547248,0,3,0.0322343
0.61,94291922550896,0,3,0.349207
0.62,999,0,3,0.730826
0.62,94291922547248,0,3,0.0349065
0.62,94291922550896,0,3,0.378593
0.63,999,0,3,0.764011
0.63,94291922547248,0,3,0.0378412
0.63,94291922550896,0,3,0.407736
0.64,999,0,3,0.730826
0.64,94291922547248,0,3,0.040751
0.64,94291922550896,0,3,0.441744
0.65,999,0,3,0.65
0.65,94291922547248,0,3,0.0441456
0.65,94291922550896,0,3,0.464385
0.66,999,0,3,0.554491
0.66,94291922547248,0,3,0.0464052
0.66,94291922550896,0,3,0.483646
0.67,999,0,3,0.478694
0.67,94291922547248,0,3,0.0483269
0.67,94291922550896,0,3,0.495399
0.68,999,0,3,0.445509
0.68,94291922547248,0,3,0.0494994
0.68,94291922550896,0,3,0.488295
0.69,999,0,3,0.458185
0.69,94291922547248,0,3,0.0487907
0.69,94291922550896,0,3,0.478169
0.7,999,0,3,0.5
0.7,94291922547248,0,3,0.0477805
0.7,94291922550896,0,3,0.458053
0.71,999,0,3,0.541815
0.71,94291922547248,0,3,0.0457733
0.71,94291922550896,0,3,0.437876
0.72,999,0,3,0.554491
0.72,94291922547248,0,3,0.0437596
0.72,94291922550896,0,3,0.406712
0.73,999,0,3,0.521306
0.73,94291922547248,0,3,0.0406488
0.73,94291922550896,0,3,0.377812
0.74,999,0,3,0.445509
0.74,94291922547248,0,3,0.0377632
0.74,94291922550896,0,3,0.343805
0.75,999,0,3,0.35
0.75,94291922547248,0,3,0.0343669
0.75,94291922550896,0,3,0.32092
0.76,999,0,3,0.269174
0.76,94291922547248,0,3,0.032081
0.76,94291922550896,0,3,0.311397
0.77,999,0,3,0.235989
0.77,94291922547248,0,3,0.0311296
0.77,94291922550896,0,3,0.301028
0.78,999,0,3,0.269174
0.78,94291922547248,0,3,0.0300937
0.78,94291922550896,0,3,0.298788
0.79,999,0,3,0.36548
0.79,94291922547248,0,3,0.0298699
0.79,94291922550896,0,3,0.304896
0.8,999,0,3,0.5
0.8,94291922547248,0,3,0.0304801
0.8,94291922550896,0,3,0.310794
0.81,999,0,3,0.63452
0.81,94291922547248,0,3,0.0310694
0.81,94291922550896,0,3,0.331045
0.82,999,0,3,0.730826
0.82,94291922547248,0,3,0.0330925
0.82,94291922550896,0,3,0.363668
0.83,999,0,3,0.764011
0.83,94291922547248,0,3,0.0363508
0.83,94291922550896,0,3,0.392568
0.84,999,0,3,0.730826
0.84,94291922547248,0,3,0.0392367
0.84,94291922550896,0,3,0.425117
0.85,999,0,3,0.65
0.85,94291922547248,0,3,0.0424861
0.85,94291922550896,0,3,0.447927
0.86,999,0,3,0.554491
0.86,94291922547248,0,3,0.0447628
0.86,94291922550896,0,3,0.471668
0.87,999,0,3,0.478694
0.87,94291922547248,0,3,0.0471318
0.87,94291922550896,0,3,0.494015
0.88,999,0,3,0.445509
0.88,94291922547248,0,3,0.0493613
0.88,94291922550896,0,3,0.489679
0.89,999,0,3,0.458185
0.89,94291922547248,0,3,0.0489288
0.89,94291922550896,0,3,0.482187
0.9,999,0,3,0.5
0.9,94291922547248,0,3,0.0481814
0.9,94291922550896,0,3,0.472271
0.91,999,0,3,0.541815
0.91,94291922547248,0,3,0.047192
0.91,94291922550896,0,3,0.448002
0.92,999,0,3,0.554491
0.92,94291922547248,0,3,0.0447702
0.92,94291922550896,0,3,0.411754
0.93,999,0,3,0.521306
0.93,94291922547248,0,3,0.0411522
0.93,94291922550896,0,3,0.379978
0.94,999,0,3,0.445509
0.94,94291922547248,0,3,0.0379795
0.94,94291922550896,0,3,0.347823
0.95,999,0,3,0.35
0.95,94291922547248,0,3,0.0347682
0.95,94291922550896,0,3,0.326396
0.96,999,0,3,0.269174
0.96,94291922547248,0,3,0.0326281
0.96,94291922550896,0,3,0.304896
0.97,999,0,3,0.235989
0.97,94291922547248,0,3,0.0304801
0.97,94291922550896,0,3,0.293386
0.98,999,0,3,0.269174
0.98,94291922547248,0,3,0.0293302
0.98,94291922550896,0,3,0.290752
0.99,999,0,3,0.36548
0.99,94291922547248,0,3,0.029067
0.99,94291922550896,0,3,0.297253
1,999,0,3,0.5
1,94291922547248,0,3,0.0297166
1,94291922550896,0,3,0.312253
